date,equity,close,shares,cash
2023-10-25,979882.97,1677.5,0,979882.97
2023-10-26,979882.97,1672.23,0,979882.97
2023-10-27,979882.97,1676.71,0,979882.97
2023-10-30,979882.97,1681.0,0,979882.97
2023-10-31,979882.97,1684.58,0,979882.97
2023-11-01,979615.82,1780.99,500,89120.82
2023-11-02,978870.82,1779.5,500,89120.82
2023-11-03,994740.82,1811.24,500,89120.82
2023-11-06,995120.82,1812.0,500,89120.82
2023-11-07,984705.82,1791.17,500,89120.82
2023-11-08,988290.82,1798.34,500,89120.82
2023-11-09,986175.82,1794.11,500,89120.82
2023-11-10,977040.82,1775.84,500,89120.82
2023-11-13,971120.82,1764.0,500,89120.82
2023-11-14,971755.82,1765.27,500,89120.82
2023-11-15,975585.82,1772.93,500,89120.82
2023-11-16,969145.82,1760.05,500,89120.82
2023-11-17,965830.82,1753.42,500,89120.82
2023-11-20,970370.82,1762.5,500,89120.82
2023-11-21,984120.82,1790.0,500,89120.82
2023-11-22,979875.82,1781.51,500,89120.82
2023-11-23,982120.82,1786.0,500,89120.82
2023-11-24,977620.82,1777.0,500,89120.82
2023-11-27,970620.82,1763.0,500,89120.82
2023-11-28,973640.82,1769.04,500,89120.82
2023-11-29,975322.26,1774.71,0,975322.26
2023-11-30,975053.53,1791.5,500,79303.53
2023-12-01,959443.53,1760.28,500,79303.53
2023-12-04,954658.53,1750.71,500,79303.53
2023-12-05,933803.53,1709.0,500,79303.53
2023-12-06,930803.53,1703.0,500,79303.53
2023-12-07,929303.53,1700.0,500,79303.53
2023-12-08,931763.53,1704.92,500,79303.53
2023-12-11,928303.53,1698.0,500,79303.53
2023-12-12,934298.53,1709.99,500,79303.53
2023-12-13,909303.53,1660.0,500,79303.53
2023-12-14,897253.53,1635.9,500,79303.53
2023-12-15,901803.53,1645.0,500,79303.53
2023-12-18,910303.53,1662.0,500,79303.53
2023-12-19,916803.53,1675.0,500,79303.53
2023-12-20,904198.53,1649.79,500,79303.53
2023-12-21,914303.53,1670.0,500,79303.53
2023-12-22,914628.53,1670.65,500,79303.53
2023-12-25,915303.53,1672.0,500,79303.53
2023-12-26,914303.53,1670.0,500,79303.53
2023-12-27,912833.53,1667.06,500,79303.53
2023-12-28,941798.53,1724.99,500,79303.53
2023-12-29,942303.53,1726.0,500,79303.53
2024-01-02,921808.53,1685.01,500,79303.53
2024-01-03,926303.53,1694.0,500,79303.53
2024-01-04,913803.53,1669.0,500,79303.53
2024-01-05,910983.53,1663.36,500,79303.53
2024-01-08,901298.53,1643.99,500,79303.53
2024-01-09,898736.88,1641.0,0,898736.88
2024-01-10,898736.88,1641.5,0,898736.88
2024-01-11,898736.88,1646.57,0,898736.88
2024-01-12,898736.88,1643.06,0,898736.88
2024-01-15,898736.88,1640.0,0,898736.88
2024-01-16,898736.88,1639.43,0,898736.88
2024-01-17,898736.88,1577.0,0,898736.88
2024-01-18,898736.88,1610.87,0,898736.88
2024-01-19,898736.88,1635.0,0,898736.88
2024-01-22,898736.88,1642.0,0,898736.88
2024-01-23,898736.88,1619.0,0,898736.88
2024-01-24,898492.98,1626.0,500,85492.98
2024-01-25,904492.98,1638.0,500,85492.98
2024-01-26,904152.98,1637.32,500,85492.98
2024-01-29,910492.98,1650.0,500,85492.98
2024-01-30,891992.98,1613.0,500,85492.98
2024-01-31,887947.98,1604.91,500,85492.98
2024-02-01,890507.98,1610.03,500,85492.98
2024-02-02,882455.58,1596.0,0,882455.58
2024-02-05,882211.08,1630.01,500,67206.08
2024-02-06,905206.08,1676.0,500,67206.08
2024-02-07,922701.08,1710.99,500,67206.08
2024-02-08,920206.08,1706.0,500,67206.08
2024-02-19,914921.08,1695.43,500,67206.08
2024-02-20,902206.08,1670.0,500,67206.08
2024-02-21,926036.08,1717.66,500,67206.08
2024-02-22,926396.08,1718.38,500,67206.08
2024-02-23,924251.08,1714.09,500,67206.08
2024-02-26,914696.08,1694.98,500,67206.08
